sig_direction,os,version,initial_ttl,mss,window_size,window_scaling,tcp_options,quirk_df,quirk_id,quirk_ts
request,Linux,3.11 and newer,64,*,mss*20,10,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.11 and newer,64,*,mss*20,7,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.1-3.10,64,*,mss*10,4,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.1-3.10,64,*,mss*10,5,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.1-3.10,64,*,mss*10,6,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.1-3.10,64,*,mss*10,7,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x,64,*,mss*4,6,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x,64,*,mss*4,7,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x,64,*,mss*4,8,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.4.x,64,*,mss*4,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.4.x,64,*,mss*4,1,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.4.x,64,*,mss*4,2,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x,64,*,mss*11,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x,64,*,mss*20,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x,64,*,mss*22,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.0,64,*,mss*12,0,mss,0,0,0
request,Linux,2.0,64,*,16384,0,mss,0,0,0
request,Linux,3.x (loopback),64,16396,mss*2,4,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.x (loopback),64,16376,mss*2,4,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x (loopback),64,16396,mss*2,2,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x (loopback),64,16376,mss*2,2,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.4.x (loopback),64,16396,mss*2,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x (loopback),64,3884,mss*8,0,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.6.x (Google crawler),64,1430,mss*4,6,"mss,sok,ts,nop,ws",0,0,0
request,Linux,(Android),64,*,mss*44,1,"mss,sok,ts,nop,ws",1,1,0
request,Linux,(Android),64,*,mss*44,3,"mss,sok,ts,nop,ws",1,1,0
request,Linux,3.x,64,*,mss*10,*,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.4.x-2.6.x,64,*,mss*4,*,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x-3.x,64,*,*,*,"mss,sok,ts,nop,ws",1,1,0
request,Linux,2.2.x-3.x (no timestamps),64,*,*,*,"mss,nop,nop,sok,nop,ws",1,1,0
request,Linux,2.2.x-3.x (barebone),64,*,*,0,mss,1,1,0
request,Windows,XP,128,*,16384,0,"mss,nop,nop,sok",1,1,0
request,Windows,XP,128,*,65535,0,"mss,nop,nop,sok",1,1,0
request,Windows,XP,128,*,65535,0,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,XP,128,*,65535,1,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,XP,128,*,65535,2,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,7 or 8,128,*,8192,0,"mss,nop,nop,sok",1,1,0
request,Windows,7 or 8,128,*,8192,2,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,7 or 8,128,*,8192,8,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,7 or 8,128,*,8192,2,"mss,nop,ws,sok,ts",1,1,0
request,Windows,7 (Websense crawler),64,1380,mss*4,6,"mss,nop,nop,ts,nop,ws",1,1,0
request,Windows,7 (Websense crawler),64,1380,mss*4,7,"mss,nop,nop,ts,nop,ws",1,1,0
request,Windows,NT kernel 5.x,128,*,16384,*,"mss,nop,nop,sok",1,1,0
request,Windows,NT kernel 5.x,128,*,65535,*,"mss,nop,nop,sok",1,1,0
request,Windows,NT kernel 5.x,128,*,16384,*,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,NT kernel 5.x,128,*,65535,*,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,NT kernel 6.x,128,*,8192,*,"mss,nop,nop,sok",1,1,0
request,Windows,NT kernel 6.x,128,*,8192,*,"mss,nop,ws,nop,nop,sok",1,1,0
request,Windows,NT kernel,128,*,*,*,"mss,nop,nop,sok",1,1,0
request,Windows,NT kernel,128,*,*,*,"mss,nop,ws,nop,nop,sok",1,1,0
request,Mac OS X,10.x,64,*,65535,1,"mss,nop,ws,nop,nop,ts,sok,eol+1",1,1,0
request,Mac OS X,10.x,64,*,65535,3,"mss,nop,ws,nop,nop,ts,sok,eol+1",1,1,0
request,mac OS X,10.9 or newer (sometimes iPhone or iPad),64,*,65535,4,"mss,nop,ws,nop,nop,ts,sok,eol+1",1,1,0
request,iOS,iPhone or iPad,64,*,65535,2,"mss,nop,ws,nop,nop,ts,sok,eol+1",1,1,0
request,Mac OS X,,64,*,65535,*,"mss,nop,ws,nop,nop,ts,sok,eol+1",1,1,0
request,FreeBSD,9.x or newer,64,*,65535,6,"mss,nop,ws,sok,ts",1,1,0
request,FreeBSD,8.x,64,*,65535,3,"mss,nop,ws,sok,ts",1,1,0
request,FreeBSD,,64,*,65535,*,"mss,nop,ws,sok,ts",1,1,0
request,OpenBSD,3.x,64,*,16384,0,"mss,nop,nop,sok,nop,ws,nop,nop,ts",1,1,0
request,OpenBSD,4.x-5.x,64,*,16384,3,"mss,nop,nop,sok,nop,ws,nop,nop,ts",1,1,0
request,Solaris,8,64,*,32850,1,"nop,ws,nop,nop,ts,nop,nop,sok,mss",1,1,0
request,Solaris,10,64,*,mss*34,0,"mss,nop,ws,nop,nop,sok",1,1,0
request,OpenVMS,8.x,128,1460,mtu*2,0,"mss,nop,ws",0,0,0
request,OpenVMS,7.x,64,1460,61440,0,"mss,nop,ws",0,0,0
request,NeXTSTEP,,64,1024,mss*4,0,mss,0,0,0
request,Tru64,4.x,64,1460,32768,0,"mss,nop,ws",1,1,0
request,p0f,sendsyn utility,192,1331,1337,0,"mss,nop,eol+18",0,0,0
request,p0f,sendsyn utility,192,1331,1337,0,"mss,ts,nop,eol+8",0,0,0
request,p0f,sendsyn utility,192,1331,1337,5,"mss,ws,nop,eol+15",0,0,0
request,p0f,sendsyn utility,192,1331,1337,0,"mss,sok,nop,eol+16",0,0,0
request,p0f,sendsyn utility,192,1331,1337,5,"mss,ws,ts,nop,eol+5",0,0,0
request,p0f,sendsyn utility,192,1331,1337,0,"mss,sok,ts,nop,eol+6",0,0,0
request,p0f,sendsyn utility,192,1331,1337,5,"mss,ws,sok,nop,eol+13",0,0,0
request,p0f,sendsyn utility,192,1331,1337,5,"mss,ws,sok,ts,nop,eol+3",0,0,0
request,Blackberry,,128,1452,65535,0,"mss,nop,nop,sok,nop,nop,ts",0,0,0
request,Nintendo,3DS,64,1360,32768,0,"mss,nop,nop,sok",1,1,0
request,Nintendo,Wii,64,1460,32768,0,"mss,nop,nop,sok",1,1,0
request,BaiduSpider,,64,1460,mss*4,7,"mss,sok,nop,nop,nop,nop,nop,nop,nop,nop,nop,nop,nop,ws",1,1,0
request,BaiduSpider,,64,1460,mss*4,2,"mss,sok,nop,nop,nop,nop,nop,nop,nop,nop,nop,nop,nop,ws",1,1,0
response,Linux,3.x,64,*,mss*10,0,mss,1,0,0
response,Linux,3.x,64,*,mss*10,0,"mss,sok,ts",1,0,0
response,Linux,3.x,64,*,mss*10,0,"mss,nop,nop,ts",1,0,0
response,Linux,3.x,64,*,mss*10,0,"mss,nop,nop,sok",1,0,0
response,Linux,3.x,64,*,mss*10,*,"mss,nop,ws",1,0,0
response,Linux,3.x,64,*,mss*10,*,"mss,sok,ts,nop,ws",1,0,0
response,Linux,3.x,64,*,mss*10,*,"mss,nop,nop,ts,nop,ws",1,0,0
response,Linux,3.x,64,*,mss*10,*,"mss,nop,nop,sok,nop,ws",1,0,0
