,Method,ACC,precision,recall,f1-score
0,GaussianNB,0.5,0.8185351141675686,0.5,0.5360043186004333
1,LinearDiscriminantAnalysis,0.719626168224299,0.7068917977593313,0.719626168224299,0.7069177355602421
2,LogisticRegression,0.7663551401869159,0.7945968637934268,0.7663551401869159,0.774239395752786
3,MLPClassifier,0.780373831775701,0.7617842633582919,0.780373831775701,0.7673365965249104
4,DecisionTreeClassifier,0.6728971962616822,0.6724245964316058,0.6728971962616822,0.6709324270648045
5,RandomForestClassifier,0.6728971962616822,0.6739497781553857,0.6728971962616822,0.6720334562032168
6,BaggingClassifier,0.6728971962616822,0.6615936880090036,0.6728971962616822,0.6644966690461185
7,GaussianNB,0.4766355140186916,0.8008203756939514,0.4766355140186916,0.5071901851080192
8,LinearDiscriminantAnalysis,0.719626168224299,0.7090392498454823,0.719626168224299,0.7089519479357379
9,LogisticRegression,0.719626168224299,0.7356574449079369,0.719626168224299,0.7225193633759548
10,MLPClassifier,0.7663551401869159,0.7562324062605562,0.7663551401869159,0.7597964453288103
11,DecisionTreeClassifier,0.6728971962616822,0.6836599484243833,0.6728971962616822,0.6780721105523795
12,RandomForestClassifier,0.6728971962616822,0.6828255024964793,0.6728971962616822,0.677729314529164
13,BaggingClassifier,0.6728971962616822,0.6627351192969201,0.6728971962616822,0.6677574456573906
14,GaussianNB,0.48598130841121495,0.8187879741941185,0.48598130841121495,0.5309867975755826
15,LinearDiscriminantAnalysis,0.7289719626168224,0.751644010195412,0.7289719626168224,0.7307714972857313
16,LogisticRegression,0.6495327102803738,0.6978109137937951,0.6495327102803738,0.6585881209244957
17,MLPClassifier,0.7710280373831776,0.7790904844739183,0.7710280373831776,0.7692780424083028
18,DecisionTreeClassifier,0.7009345794392523,0.7263917679713302,0.7009345794392523,0.7109675435728714
19,RandomForestClassifier,0.7009345794392523,0.7233040453433381,0.7009345794392523,0.7102052553652254
20,BaggingClassifier,0.7009345794392523,0.7152779299152868,0.7009345794392523,0.7019996358781405
21,GaussianNB,0.49065420560747663,0.7733847344064606,0.49065420560747663,0.5147132636132555
22,LinearDiscriminantAnalysis,0.7429906542056075,0.7418059129272084,0.7429906542056075,0.7357511339402727
23,LogisticRegression,0.7429906542056075,0.7674860443235326,0.7429906542056075,0.7460243025403691
24,MLPClassifier,0.7897196261682243,0.793571425844481,0.7897196261682243,0.7822944165155101
25,DecisionTreeClassifier,0.719626168224299,0.7339038210307428,0.719626168224299,0.7250431955459126
26,RandomForestClassifier,0.719626168224299,0.7353677135611556,0.719626168224299,0.7255170309069146
27,BaggingClassifier,0.719626168224299,0.7258947420218083,0.719626168224299,0.7191776244953656
28,GaussianNB,0.5093457943925234,0.8219320974298626,0.5093457943925234,0.5566698569202135
29,LinearDiscriminantAnalysis,0.8084112149532711,0.8113848768054375,0.8084112149532711,0.8093916781376029
30,LogisticRegression,0.7476635514018691,0.7931613175140064,0.7476635514018691,0.761129158995902
31,MLPClassifier,0.822429906542056,0.8229086509912559,0.822429906542056,0.8168386462841222
32,DecisionTreeClassifier,0.7429906542056075,0.7507168649107901,0.7429906542056075,0.7460508748506782
33,RandomForestClassifier,0.7429906542056075,0.7505714858869064,0.7429906542056075,0.7457971875998353
34,BaggingClassifier,0.7476635514018691,0.7481308411214953,0.7476635514018691,0.7478447394107298
35,GaussianNB,0.4766355140186916,0.7593237195718665,0.4766355140186916,0.5067592664449103
36,LinearDiscriminantAnalysis,0.7523364485981309,0.7716415694514361,0.7523364485981309,0.7573997942831154
37,LogisticRegression,0.7009345794392523,0.7557132930488105,0.7009345794392523,0.718422121031427
38,MLPClassifier,0.7757009345794392,0.7847453334346427,0.7757009345794392,0.7782032722076316
39,DecisionTreeClassifier,0.719626168224299,0.7418092810616175,0.719626168224299,0.72979253472757
40,RandomForestClassifier,0.719626168224299,0.7410851856529428,0.719626168224299,0.7294537025525714
41,BaggingClassifier,0.719626168224299,0.7322983276195318,0.719626168224299,0.7256032877185993
42,GaussianNB,0.4672897196261682,0.8129642478226661,0.4672897196261682,0.5122922467364528
43,LinearDiscriminantAnalysis,0.7429906542056075,0.7547431757229761,0.7429906542056075,0.7382333825354627
44,LogisticRegression,0.6635514018691588,0.7014818704199001,0.6635514018691588,0.6749298724647482
45,MLPClassifier,0.7570093457943925,0.7443636936585377,0.7570093457943925,0.7461618679818541
46,DecisionTreeClassifier,0.7149532710280374,0.7144597077430863,0.7149532710280374,0.7125759633534368
47,RandomForestClassifier,0.7149532710280374,0.7125136915176602,0.7149532710280374,0.7106400327763402
48,BaggingClassifier,0.7149532710280374,0.7024537248836313,0.7149532710280374,0.7068705401780869
49,GaussianNB,0.4439252336448598,0.7593328633110099,0.4439252336448598,0.45898628512728934
50,LinearDiscriminantAnalysis,0.7102803738317757,0.7175141568067769,0.7102803738317757,0.7097587405971025
51,LogisticRegression,0.719626168224299,0.755125528652244,0.719626168224299,0.727030271156976
52,MLPClassifier,0.7663551401869159,0.7764140741765153,0.7663551401869159,0.7605619402485813
53,DecisionTreeClassifier,0.705607476635514,0.7195571106302656,0.705607476635514,0.7097042521341587
54,RandomForestClassifier,0.705607476635514,0.7226532962335115,0.705607476635514,0.7101630456770643
55,BaggingClassifier,0.705607476635514,0.7097707346901674,0.705607476635514,0.7052744481046074
56,GaussianNB,0.5186915887850467,0.8359201157098354,0.5186915887850467,0.5449987431882964
57,LinearDiscriminantAnalysis,0.7663551401869159,0.7780775265639143,0.7663551401869159,0.7617161552708587
58,LogisticRegression,0.7289719626168224,0.7589823080075344,0.7289719626168224,0.7364622959141973
59,MLPClassifier,0.7570093457943925,0.7652389977141866,0.7570093457943925,0.7574674889865026
60,DecisionTreeClassifier,0.7149532710280374,0.7293082096107599,0.7149532710280374,0.7200539848419949
61,RandomForestClassifier,0.7149532710280374,0.7302671374750365,0.7149532710280374,0.7196860721239021
62,BaggingClassifier,0.719626168224299,0.7238872660975724,0.719626168224299,0.7188972762473332
