,Method,ACC,precision,recall,f1-score
0,GaussianNB,0.9787234042553191,0.9804964539007092,0.9787234042553191,0.9789595921821796
1,LinearDiscriminantAnalysis,0.9574468085106383,0.9680851063829787,0.9574468085106383,0.9567691400194797
2,LogisticRegression,1.0,1.0,1.0,1.0
3,MLPClassifier,1.0,1.0,1.0,1.0
4,DecisionTreeClassifier,1.0,1.0,1.0,1.0
5,RandomForestClassifier,1.0,1.0,1.0,1.0
6,BaggingClassifier,1.0,1.0,1.0,1.0
7,GaussianNB,0.9574468085106383,0.9639934533551554,0.9574468085106383,0.9582947887758249
8,LinearDiscriminantAnalysis,0.9361702127659575,0.9609929078014185,0.9361702127659575,0.9397583606649287
9,LogisticRegression,1.0,1.0,1.0,1.0
10,MLPClassifier,0.7021276595744681,0.5663829787234043,0.7021276595744681,0.6145607179041829
11,DecisionTreeClassifier,1.0,1.0,1.0,1.0
12,RandomForestClassifier,1.0,1.0,1.0,1.0
13,BaggingClassifier,1.0,1.0,1.0,1.0
14,GaussianNB,1.0,1.0,1.0,1.0
15,LinearDiscriminantAnalysis,0.9787234042553191,0.9822695035460994,0.9787234042553191,0.9761444229529337
16,LogisticRegression,1.0,1.0,1.0,1.0
17,MLPClassifier,1.0,1.0,1.0,1.0
18,DecisionTreeClassifier,1.0,1.0,1.0,1.0
19,RandomForestClassifier,1.0,1.0,1.0,1.0
20,BaggingClassifier,1.0,1.0,1.0,1.0
21,GaussianNB,1.0,1.0,1.0,1.0
22,LinearDiscriminantAnalysis,0.9787234042553191,0.9822695035460994,0.9787234042553191,0.9761444229529337
23,LogisticRegression,1.0,1.0,1.0,1.0
24,MLPClassifier,1.0,1.0,1.0,1.0
25,DecisionTreeClassifier,1.0,1.0,1.0,1.0
26,RandomForestClassifier,1.0,1.0,1.0,1.0
27,BaggingClassifier,1.0,1.0,1.0,1.0
28,GaussianNB,0.9787234042553191,0.9804964539007092,0.9787234042553191,0.9789595921821796
29,LinearDiscriminantAnalysis,0.9574468085106383,0.9680851063829787,0.9574468085106383,0.9567691400194797
30,LogisticRegression,1.0,1.0,1.0,1.0
31,MLPClassifier,1.0,1.0,1.0,1.0
32,DecisionTreeClassifier,1.0,1.0,1.0,1.0
33,RandomForestClassifier,1.0,1.0,1.0,1.0
34,BaggingClassifier,1.0,1.0,1.0,1.0
35,GaussianNB,1.0,1.0,1.0,1.0
36,LinearDiscriminantAnalysis,0.9787234042553191,0.9822695035460994,0.9787234042553191,0.9761444229529337
37,LogisticRegression,1.0,1.0,1.0,1.0
38,MLPClassifier,1.0,1.0,1.0,1.0
39,DecisionTreeClassifier,1.0,1.0,1.0,1.0
40,RandomForestClassifier,1.0,1.0,1.0,1.0
41,BaggingClassifier,1.0,1.0,1.0,1.0
42,GaussianNB,1.0,1.0,1.0,1.0
43,LinearDiscriminantAnalysis,0.9787234042553191,0.9822695035460994,0.9787234042553191,0.9761444229529337
44,LogisticRegression,1.0,1.0,1.0,1.0
45,MLPClassifier,1.0,1.0,1.0,1.0
46,DecisionTreeClassifier,1.0,1.0,1.0,1.0
47,RandomForestClassifier,1.0,1.0,1.0,1.0
48,BaggingClassifier,1.0,1.0,1.0,1.0
49,GaussianNB,0.9574468085106383,0.9639934533551554,0.9574468085106383,0.9582947887758249
50,LinearDiscriminantAnalysis,0.9574468085106383,0.9787234042553191,0.9574468085106383,0.9636139377119952
51,LogisticRegression,1.0,1.0,1.0,1.0
52,MLPClassifier,1.0,1.0,1.0,1.0
53,DecisionTreeClassifier,1.0,1.0,1.0,1.0
54,RandomForestClassifier,1.0,1.0,1.0,1.0
55,BaggingClassifier,1.0,1.0,1.0,1.0
56,GaussianNB,1.0,1.0,1.0,1.0
57,LinearDiscriminantAnalysis,0.9574468085106383,0.9270516717325228,0.9574468085106383,0.9397163120567376
58,LogisticRegression,1.0,1.0,1.0,1.0
59,MLPClassifier,1.0,1.0,1.0,1.0
60,DecisionTreeClassifier,1.0,1.0,1.0,1.0
61,RandomForestClassifier,1.0,1.0,1.0,1.0
62,BaggingClassifier,1.0,1.0,1.0,1.0
